Ciudad,Departamento,Población
Bogotá D.C.,Cundinamarca,8380801
Medellín,Antioquia,2569007
Cali,Valle del Cauca,2496346
Barranquilla,Atlántico,1239804
Cartagena de Indias,Bolívar,1057767
Soledad,Atlántico,700970
Cúcuta,Norte de Santander,680765
Ibagué,Tolima,579803
Soacha,Cundinamarca,567546
Villavicencio,Meta,538527
Bucaramanga,Santander,528572
Santa Marta,Magdalena,524031
Valledupar,Cesar,503444
Bello,Antioquia,500098
Pereira,Risaralda,481129
Montería,Córdoba,471867
Pasto,Nariño,465148
Buenaventura,Valle del Cauca,440995
Manizales,Caldas,402646
Neiva,Huila,350457
